Strain Name,plate384,Well384,Gene name,gene discription,Accession Number,Row384,Column384
NE1440,4,O24,,replication initiation factor family protein,SAUSA300_1487,O,24
NE1441,4,B2,,"oxidoreductase, aldo/keto reductase family",SAUSA300_1728,B,2
NE1442,4,B4,rumA,"RNA methyltransferase, TrmA family",SAUSA300_1878,B,4
NE1443,4,B6,,conserved hypothetical protein,SAUSA300_1747,B,6
NE1444,4,B8,crtM,squalene desaturase,SAUSA300_2499,B,8
NE1445,4,B10,,conserved hypothetical protein,SAUSA300_1797,B,10
NE1446,4,B12,,endopeptidase resistance gene,SAUSA300_1141,B,12
NE1447,4,B14,,geranyltranstransferase,SAUSA300_1470,B,14
NE1448,4,B16,,phi77 ORF031-like protein,SAUSA300_1947,B,16
NE1449,4,B18,hlgC,gamma-hemolysin component C,SAUSA300_2366,B,18
NE1450,4,B20,-,hypothetical protein,SAUSA300_1907,B,20
NE1451,4,B22,sbcC,exonuclease SbcC,SAUSA300_1243,B,22
NE1452,4,B24,,phi77 ORF071-like protein,SAUSA300_1945,B,24
NE1453,4,D2,,putative competence protein ComG,SAUSA300_1501,D,2
NE1454,4,D4,carB,carbamoyl phosphate synthase large subunit,SAUSA300_1096,D,4
NE1455,4,D6,,amidohydrolase,SAUSA300_0534,D,6
NE1456,4,D8,cdr,coenzyme A disulfide reductase,SAUSA300_0873,D,8
NE1457,4,D10,nagE,"phosphotransferase system, N-acetylglucosamine-specific IIBC component",SAUSA300_1672,D,10
NE1458,4,D12,,conserved hypothetical protein,SAUSA300_2094,D,12
NE1459,4,D14,,"phosphate ABC transporter, phosphate-binding protein PstS",SAUSA300_1283,D,14
NE1460,4,D16,,D-isomer specific 2-hydroxyacid dehydrogenase family protein,SAUSA300_1843,D,16
NE1461,4,D18,,conserved hypothetical protein,SAUSA300_0385,D,18
NE1462,4,D20,mutS2,DNA mismatch repair MutS2 protein,SAUSA300_1043,D,20
NE1463,4,D22,,sodium:alanine symporter family protein,SAUSA300_0914,D,22
NE1464,4,D24,purL,phosphoribosylformylglycinamidine synthase II,SAUSA300_0971,D,24
NE1465,4,F2,,conserved hypothetical protein,SAUSA300_1008,F,2
NE1466,4,F4,,"transcriptional regulator, LysR family",SAUSA300_2480,F,4
NE1467,4,F6,arcB,ornithine carbamoyltransferase,SAUSA300_2569,F,6
NE1468,4,F8,fhuG,ferrichrome transport permease protein fhuG,SAUSA300_0635,F,8
NE1469,4,F10,,conserved hypothetical protein,SAUSA300_0059,F,10
NE1470,4,F12,nhaC,Na+/H+ antiporter NhaC,SAUSA300_2250,F,12
NE1471,4,F14,,"transcriptional regulator, TetR family",SAUSA300_2300,F,14
NE1472,4,F16,rsbW,"anti-sigma-B factor, serine-protein kinase",SAUSA300_2023,F,16
NE1473,4,F18,thiM,hydroxyethylthiazole kinase,SAUSA300_2048,F,18
NE1474,4,F20,,"ATP-dependent RNA helicase, DEAD/DEAH box  family",SAUSA300_1518,F,20
NE1475,4,F22,,putative Bacterial sugar transferase,SAUSA300_0131,F,22
NE1476,4,F24,-,hypothetical protein,SAUSA300_0813,F,24
NE1477,4,H2,entB,isochorismatase,SAUSA300_0189,H,2
NE1478,4,H4,-,transporter gate domain-containing protein,SAUSA300_2133,H,4
NE1479,4,H6,fosB,fosfomycin resistance protein FosB,SAUSA300_2280,H,6
NE1480,4,H8,-,short chain dehydrogenase/reductase family oxidoreductase,SAUSA300_2275,H,8
NE1481,4,H10,-,FtsK/SpoIIIE family protein,SAUSA300_1687,H,10
NE1482,4,H12,-,proline dipeptidase,SAUSA300_1654,H,12
NE1483,4,H14,-,"phi77 ORF020-like protein, phage major tail protein",SAUSA300_1934,H,14
NE1484,4,H16,arsB,aresenical pump membrane protein,SAUSA300_1718,H,16
NE1485,4,H18,-,acetyltransferase,SAUSA300_2083,H,18
NE1486,4,H20,phoP,alkaline phosphatase synthesis transcriptional regulatory protein,SAUSA300_1639,H,20
NE1487,4,H22,-,ABC transporter ATP-binding protein,SAUSA300_2288,H,22
NE1488,4,H24,-,hypothetical protein,SAUSA300_0323,H,24
NE1489,4,J2,-,ABC transporter ATP-binding protein,SAUSA300_2306,J,2
NE1490,4,J4,treP,"PTS system, trehalose-specific IIBC component",SAUSA300_0448,J,4
NE1491,4,J6,-,hypothetical protein,SAUSA300_1021,J,6
NE1492,4,J8,-,hypothetical protein,SAUSA300_2522,J,8
NE1493,4,J10,-,hypothetical protein,SAUSA300_0871,J,10
NE1494,4,J12,rnc,ribonuclease III,SAUSA300_1126,J,12
NE1495,4,J14,murA,UDP-N-acetylglucosamine 1-carboxyvinyltransferase,SAUSA300_2055,J,14
NE1496,4,J16,-,hypothetical protein,SAUSA300_0372,J,16
NE1497,4,J18,-,hypothetical protein,SAUSA300_0675,J,18
NE1498,4,J20,-,2-oxoglutarate ferredoxin oxidoreductase subunit beta,SAUSA300_1183,J,20
NE1499,4,J22,opp-3B,"oligopeptide permease, channel-forming protein",SAUSA300_0074,J,22
NE1500,4,J24,-,hypothetical protein,SAUSA300_0043,J,24
NE1501,4,L2,hemX,hemA concentration negative effector hemX,SAUSA300_1618,L,2
NE1502,4,L4,asnC,asparaginyl-tRNA synthetase,SAUSA300_1345,L,4
NE1503,4,L6,-,hypothetical protein,SAUSA300_0561,L,6
NE1504,4,L8,-,Na+/H+ antiporter,SAUSA300_0617,L,8
NE1505,4,L10,-,hypothetical protein,SAUSA300_0840,L,10
NE1506,4,L12,sspA,V8 protease,SAUSA300_0951,L,12
NE1507,4,L14,-,hypothetical protein,SAUSA300_1519,L,14
NE1508,4,L16,-,D-lactate dehydrogenase,SAUSA300_2496,L,16
NE1509,4,L18,-,ABC transporter ATP-binding protein,SAUSA300_0630,L,18
NE1510,4,L20,-,hypothetical protein,SAUSA300_0723,L,20
NE1511,4,L22,-,LysR family regulatory protein,SAUSA300_2279,L,22
NE1512,4,L24,narJ,"respiratory nitrate reductase, subunit delta",SAUSA300_2341,L,24
NE1513,4,N2,-,acylphosphatase,SAUSA300_1297,N,2
NE1514,4,N4,-,gamma-aminobutyrate permease,SAUSA300_1231,N,4
NE1515,4,N6,-,phiSLT ORF86-like protein,SAUSA300_1427,N,6
NE1516,4,N8,-,hypothetical protein,SAUSA300_0606,N,8
NE1517,4,N10,-,M16 family peptidase,SAUSA300_1172,N,10
NE1518,4,N12,gudB,NAD-specific glutamate dehydrogenase,SAUSA300_0861,N,12
NE1519,4,N14,accC,"acetyl-CoA carboxylase, biotin carboxylase",SAUSA300_1563,N,14
NE1520,4,N16,-,hypothetical protein,SAUSA300_2030,N,16
NE1521,4,N18,-,hypothetical protein,SAUSA300_2620,N,18
NE1522,4,N20,-,"putative iron compound A C transporter, iron compound-binding protein",SAUSA300_0219,N,20
NE1523,4,N22,ksgA,dimethyladenosine transferase,SAUSA300_0470,N,22
NE1524,4,N24,lpl3,tandem lipoprotein,SAUSA300_0415,N,24
NE1525,4,P2,-,hypothetical protein,SAUSA300_1745,P,2
NE1526,4,P4,carA,carbamoyl phosphate synthase small subunit,SAUSA300_1095,P,4
NE1527,4,P6,-,short chain dehydrogenase/reductase family oxidoreductase,SAUSA300_2516,P,6
NE1528,4,P8,recQ,ATP-dependent DNA helicase RecQ,SAUSA300_1371,P,8
NE1529,4,P10,-,ATP-binding Mrp/Nbp35 family protein,SAUSA300_2125,P,10
NE1530,4,P12,ansA,L-asparaginase,SAUSA300_1368,P,12
NE1531,4,P14,-,glutamine amidotransferase subunit PdxT,SAUSA300_0505,P,14
NE1532,4,P16,agrA,accessory gene regulator protein A,SAUSA300_1992,P,16
NE1533,4,P18,-,hypothetical protein,SAUSA300_0007,P,18
NE1534,4,P20,-,putative lysophospholipase,SAUSA300_0070,P,20
NE1535,4,P22,lacB,galactose-6-phosphate isomerase subunit LacB,SAUSA300_2154,P,22
NE1536,4,P24,gcvH,glycine cleavage system protein H,SAUSA300_0791,P,24
NE1537,5,A1,-,hypothetical protein,SAUSA300_0545,A,1
NE1538,5,A3,-,hypothetical protein,SAUSA300_2502,A,3
NE1539,5,A5,-,hypothetical protein,SAUSA300_0301,A,5
NE1540,5,A7,-,degV family protein,SAUSA300_0733,A,7
NE1541,5,A9,-,BioY family protein,SAUSA300_2233,A,9
NE1542,5,A11,-,hypothetical protein,SAUSA300_2632,A,11
NE1543,5,A13,qoxC,"quinol oxidase, subunit III",SAUSA300_0961,A,13
NE1544,5,A15,-,glycerophosphoryl diester phosphodiesterase family protein,SAUSA300_1020,A,15
NE1545,5,A17,moeB,molybdopterin biosynthesis protein B,SAUSA300_2227,A,17
NE1546,5,A19,-,hypothetical protein,SAUSA300_0981,A,19
NE1547,5,A21,-,hypothetical protein,SAUSA300_2508,A,21
NE1548,5,A23,atpB,F0F1 ATP synthase subunit A,SAUSA300_2064,A,23
NE1549,5,C1,-,hypothetical protein,SAUSA300_0692,C,1
NE1550,5,C3,-,nitroreductase family protein,SAUSA300_0788,C,3
NE1551,5,C5,-,hypothetical protein,SAUSA300_2236,C,5
NE1552,5,C7,-,putative osmoprotectant ABC transporter ATP-binding protein,SAUSA300_0706,C,7
NE1553,5,C9,hutG,formimidoylglutamase,SAUSA300_2281,C,9
NE1554,5,C11,-,hypothetical protein,SAUSA300_0376,C,11
NE1555,5,C13,codY,transcriptional repressor CodY,SAUSA300_1148,C,13
NE1556,5,C15,-,hypothetical protein,SAUSA300_0938,C,15
NE1557,5,C17,-,hypothetical protein,SAUSA300_2252,C,17
NE1558,5,C19,empbp,secretory extracellular matrix and plasma binding protein,SAUSA300_0774,C,19
NE1559,5,C21,-,putative lipoprotein,SAUSA300_0344,C,21
NE1560,5,C23,-,LysR family transcriptional regulator,SAUSA300_0658,C,23
NE1561,5,E1,ebpS,cell surface elastin binding protein,SAUSA300_1370,E,1
NE1562,5,E3,arsR,arsenical resistance operon repressor,SAUSA300_1717,E,3
NE1563,5,E5,-,superantigen-like protein,SAUSA300_0395,E,5
NE1564,5,E7,-,"phiSLT ORF100b-like protein, holin",SAUSA300_1384,E,7
NE1565,5,E9,-,hypothetical protein,SAUSA300_0288,E,9
NE1566,5,E11,sirC,iron compound ABC transporter permease SirC,SAUSA300_0115,E,11
NE1567,5,E13,dapB,dihydrodipicolinate reductase,SAUSA300_1289,E,13
NE1568,5,E15,ilvN,acetolactate synthase 1 regulatory subunit,SAUSA300_2008,E,15
NE1569,5,E17,-,superantigen-like protein,SAUSA300_0402,E,17
NE1570,5,E19,-,hypothetical protein,SAUSA300_0431,E,19
NE1571,5,E21,ahpF,alkyl hydroperoxide reductase subunit F,SAUSA300_0379,E,21
NE1572,5,E23,-,hypothetical protein,SAUSA300_2163,E,23
NE1573,5,G1,deoB,phosphopentomutase,SAUSA300_0141,G,1
NE1574,5,G3,-,hypothetical protein,SAUSA300_0767,G,3
NE1575,5,G5,trmE,tRNA modification GTPase TrmE,SAUSA300_2646,G,5
NE1576,5,G7,-,hypothetical protein,SAUSA300_1342,G,7
NE1577,5,G9,splD,serine protease SplD,SAUSA300_1755,G,9
NE1578,5,G11,-,isochorismate synthase family protein,SAUSA300_0945,G,11
NE1579,5,G13,-,"aminotransferase, class I",SAUSA300_0952,G,13
NE1580,5,G15,glpF,glycerol uptake facilitator,SAUSA300_1191,G,15
NE1581,5,G17,-,hypothetical protein,SAUSA300_2350,G,17
NE1582,5,G19,-,hypothetical protein,SAUSA300_0423,G,19
NE1583,5,G21,-,inosine-uridine preferring nucleoside hydrolase,SAUSA300_2234,G,21
NE1584,5,G23,-,"PTS system, IIA component",SAUSA300_0259,G,23
NE1585,5,I1,-,hypothetical protein,SAUSA300_0807,I,1
NE1586,5,I3,rbsD,D-ribose pyranase,SAUSA300_0263,I,3
NE1587,5,I5,glpK,glycerol kinase,SAUSA300_1192,I,5
NE1588,5,I7,hemE,uroporphyrinogen decarboxylase,SAUSA300_1783,I,7
NE1589,5,I9,-,ABC transporter substrate-binding protein,SAUSA300_0798,I,9
NE1590,5,I11,-,hypothetical protein,SAUSA300_1409,I,11
NE1591,5,I13,-,TPR domain-containing protein,SAUSA300_1577,I,13
NE1592,5,I15,-,amino acid ABC transporter amino acid-binding protein,SAUSA300_2359,I,15
NE1593,5,I17,-,hypothetical protein,SAUSA300_2482,I,17
NE1594,5,I19,arcA,arginine deiminase,SAUSA300_0065,I,19
NE1595,5,I21,-,hypothetical protein,SAUSA300_0588,I,21
NE1596,5,I23,-,hypothetical protein,SAUSA300_0552,I,23
NE1597,5,K1,-,hypothetical protein,SAUSA300_1135,K,1
NE1598,5,K3,-,hypothetical protein,SAUSA300_2040,K,3
NE1599,5,K5,-,hypothetical protein,SAUSA300_1743,K,5
NE1600,5,K7,-,hypothetical protein,SAUSA300_0808,K,7
NE1601,5,K9,tcaR,transcriptional regulator TcaR,SAUSA300_2303,K,9
NE1602,5,K11,-,phiSLT ORF80-like protein,SAUSA300_1419,K,11
NE1603,5,K13,-,ABC transporter ATP-binding protein,SAUSA300_0077,K,13
NE1604,5,K15,-,oligopeptide ABC transporter ATP-binding protein,SAUSA300_2407,K,15
NE1605,5,K17,seq,enterotoxin Q,SAUSA300_0801,K,17
NE1606,5,K19,-,HAD superfamily hydrolase,SAUSA300_0544,K,19
NE1607,5,K21,rsbU,sigma-B regulation protein,SAUSA300_2025,K,21
NE1608,5,K23,thiE,thiamine-phosphate pyrophosphorylase,SAUSA300_2047,K,23
NE1609,5,M1,opp-2F,"oligopeptide permease, ATP-binding protein",SAUSA300_1273,M,1
NE1610,5,M3,lpdA,dihydrolipoamide dehydrogenase,SAUSA300_0996,M,3
NE1611,5,M5,-,hydrolase-like protein,SAUSA300_1271,M,5
NE1612,5,M7,-,"phiSLT ORF213-like protein, major tail protein",SAUSA300_1397,M,7
NE1613,5,M9,-,putative 3-methyladenine DNA glycosylase,SAUSA300_2290,M,9
NE1614,5,M11,-,hypothetical protein,SAUSA300_2325,M,11
NE1615,5,M13,-,ABC transporter substrate-binding protein,SAUSA300_0618,M,13
NE1616,5,M15,-,hypothetical protein,SAUSA300_2127,M,15
NE1617,5,M17,-,hypothetical protein,SAUSA300_2272,M,17
NE1618,5,M19,-,hypothetical protein,SAUSA300_2593,M,19
NE1619,5,M21,cap5L,capsular polysaccharide biosynthesis protein Cap5L,SAUSA300_0163,M,21
NE1620,5,M23,-,"PTS system, galactitol-specific enzyme II, B component",SAUSA300_0240,M,23
NE1621,5,O1,-,HAD family hydrolase,SAUSA300_0557,O,1
NE1622,5,O3,saeR,DNA-binding response regulator SaeR,SAUSA300_0691,O,3
NE1623,5,O5,-,hypothetical protein,SAUSA300_0832,O,5
NE1624,5,O7,-,hypothetical protein,SAUSA300_1339,O,7
NE1625,5,O9,-,hypothetical protein,SAUSA300_2413,O,9
NE1626,5,O11,-,ornithine cyclodeaminase,SAUSA300_0119,O,11
NE1627,5,O13,-,hypothetical protein,SAUSA300_1394,O,13
NE1628,5,O15,-,hypothetical protein,SAUSA300_1424,O,15
NE1629,5,O17,-,hypothetical protein,SAUSA300_2618,O,17
NE1630,5,O19,-,ABC transporter ATP-binding protein,SAUSA300_0076,O,19
NE1631,5,O21,-,hypothetical protein,SAUSA300_1204,O,21
NE1632,5,O23,-,hypothetical protein,SAUSA300_2294,O,23
NE1633,5,B1,oppD,oligopeptide ABC transporter ATP-binding protein,SAUSA300_0889,B,1
NE1634,5,B3,-,acetyltransferase,SAUSA300_1312,B,3
NE1635,5,B5,-,putative lipoprotein,SAUSA300_1478,B,5
NE1636,5,B7,-,phiPVL ORF17-like protein,SAUSA300_1925,B,7
NE1637,5,B9,-,inosine-uridine preferring nucleoside hydrolase,SAUSA300_0237,B,9
NE1638,5,B11,-,ribosomal RNA large subunit methyltransferase N,SAUSA300_1111,B,11
NE1639,5,B13,-,hypothetical protein,SAUSA300_1749,B,13
NE1640,5,B15,-,LysM domain-containing protein,SAUSA300_0739,B,15
NE1641,5,B17,-,hypothetical protein,SAUSA300_1463,B,17
NE1642,5,B19,ureB,urease subunit beta,SAUSA300_2239,B,19
NE1643,5,B21,-,DNA-binding response regulator,SAUSA300_2559,B,21
NE1644,5,B23,-,hypothetical protein,SAUSA300_1788,B,23
NE1645,5,D1,manA,mannose-6-phosphate isomerase,SAUSA300_2096,D,1
NE1646,5,D3,-,phosphonate ABC transporter phosphonate-binding protein,SAUSA300_0145,D,3
NE1647,5,D5,rpsA,30S ribosomal protein S1,SAUSA300_1365,D,5
NE1648,5,D7,-,hypothetical protein,SAUSA300_0056,D,7
NE1649,5,D9,-,CHAP domain-contain protein,SAUSA300_0651,D,9
NE1650,5,D11,-,twin arginine-targeting protein translocase,SAUSA300_0348,D,11
NE1651,5,D13,argB,acetylglutamate kinase,SAUSA300_0184,D,13
NE1652,5,D15,-,"aminotransferase, class V",SAUSA300_1669,D,15
NE1653,5,D17,-,MutT/NUDIX family hydrolase,SAUSA300_2432,D,17
NE1654,5,D19,-,hypothetical protein,SAUSA300_0657,D,19
NE1655,5,D21,-,"phiSLT ORF484-like protein, lysin",SAUSA300_1383,D,21
NE1656,5,D23,ribD,riboflavin biosynthesis protein,SAUSA300_1715,D,23
NE1657,5,F1,-,hypothetical protein,SAUSA300_0476,F,1
NE1658,5,F3,-,hypothetical protein,SAUSA300_1861,F,3
NE1659,5,F5,-,transcriptional regulator,SAUSA300_0195,F,5
NE1660,5,F7,-,copper chaperone copZ,SAUSA300_2495,F,7
NE1661,5,F9,-,putative glycerophosphoryl diester phosphodiesterase,SAUSA300_1667,F,9
NE1662,5,F11,miaB,(dimethylallyl)adenosine tRNA methylthiotransferase,SAUSA300_1185,F,11
NE1663,5,F13,-,diacylglycerol glucosyltransferase,SAUSA300_0918,F,13
NE1664,5,F15,arcC,carbamate kinase,SAUSA300_2567,F,15
NE1665,5,F17,-,NADH-dependent flavin oxidoreductase,SAUSA300_0859,F,17
NE1666,5,F19,-,hypothetical protein,SAUSA300_0642,F,19
NE1667,5,F21,-,phi77 ORF045-like protein,SAUSA300_1937,F,21
NE1668,5,F23,-,hippurate hydrolase,SAUSA300_1291,F,23
NE1669,5,H1,-,DegU family transcriptional regulator,SAUSA300_2337,H,1
NE1670,5,H3,ccpA,catabolite control protein A,SAUSA300_1682,H,3
NE1671,5,H5,-,methyltransferase small subunit,SAUSA300_0526,H,5
NE1672,5,H7,trmB,tRNA (guanine-N(7)-)-methyltransferase,SAUSA300_1694,H,7
NE1673,5,H9,-,hypothetical protein,SAUSA300_2132,H,9
NE1674,5,H11,thiD,phosphomethylpyrimidine kinase,SAUSA300_0562,H,11
NE1675,5,H13,-,metal-dependent hydrolase,SAUSA300_1653,H,13
NE1676,5,H15,hisA,phoribosyl)-5-[(5- phosphoribosylamino)methylideneamino] imidazole-4-carboxamide,SAUSA300_2607,H,15
NE1677,5,H17,gid,tRNA (uracil-5-)-methyltransferase Gid,SAUSA300_1144,H,17
NE1678,5,H19,-,hypothetical protein,SAUSA300_1721,H,19
NE1679,5,H21,-,single-stranded DNA- binding protein family,SAUSA300_2052,H,21
NE1680,5,H23,-,putative phage regulatory protein,SAUSA300_1433,H,23
NE1681,5,J1,-,hypothetical protein,SAUSA300_0693,J,1
NE1682,5,J3,hlgB,gamma-hemolysin component B,SAUSA300_2367,J,3
NE1683,5,J5,argC,N-acetyl-gamma-glutamyl-phosphate reductase,SAUSA300_0186,J,5
NE1684,5,J7,arlR,DNA-binding response regulator,SAUSA300_1308,J,7
NE1685,5,J9,-,hypothetical protein,SAUSA300_1070,J,9
NE1686,5,J11,-,hypothetical protein,SAUSA300_0750,J,11
NE1687,5,J13,treR,trehalose operon repressor,SAUSA300_0450,J,13
NE1688,5,J15,-,CHAP domain-contain protein,SAUSA300_0438,J,15
NE1689,5,J17,pcrB,geranylgeranylglyceryl phosphate synthase-like protein,SAUSA300_1887,J,17
NE1690,5,J19,-,hypothetical protein,SAUSA300_2548,J,19
NE1691,5,J21,-,hypothetical protein,SAUSA300_1336,J,21
NE1692,5,J23,cidA,holin-like protein cidA,SAUSA300_2479,J,23
NE1693,5,L1,-,hypothetical protein,SAUSA300_0022,L,1
NE1694,5,L3,typA,GTP-binding protein,SAUSA300_1009,L,3
NE1695,5,L5,-,branched-chain alpha-keto acid dehydrogenase subunit E2,SAUSA300_0995,L,5
NE1696,5,L7,acuA,acetoin utilization protein AcuA,SAUSA300_1680,L,7
NE1697,5,L9,-,hypothetical protein,SAUSA300_1338,L,9
NE1698,5,L11,-,MutT/nudix family protein,SAUSA300_1449,L,11
NE1699,5,L13,-,hypothetical protein,SAUSA300_2334,L,13
NE1700,5,L15,-,hypothetical protein,SAUSA300_0223,L,15
NE1701,5,L17,dapA,dihydrodipicolinate synthase,SAUSA300_1288,L,17
NE1702,5,L19,-,zinc-binding dehydrogenase family oxidoreductase,SAUSA300_0244,L,19
NE1703,5,L21,-,hypothetical protein,SAUSA300_0471,L,21
NE1704,5,L23,-,hypothetical protein,SAUSA300_2330,L,23
NE1705,5,N1,-,hypothetical protein,SAUSA300_2582,N,1
NE1706,5,N3,-,hypothetical protein,SAUSA300_1870,N,3
NE1707,5,N5,-,hypothetical protein,SAUSA300_1184,N,5
NE1708,5,N7,hslU,ATP-dependent protease ATP-binding subunit HslU,SAUSA300_1147,N,7
NE1709,5,N9,-,amino acid permease,SAUSA300_0566,N,9
NE1710,5,N11,-,phosphotransferase mannnose-specific family component IIA,SAUSA300_0638,N,11
NE1711,5,N13,-,hypothetical protein,SAUSA300_1051,N,13
NE1712,5,N15,-,ComE operon protein 2,SAUSA300_1548,N,15
NE1713,5,N17,alr,alanine racemase,SAUSA300_2027,N,17
NE1714,5,N19,-,GTP pyrophosphokinase,SAUSA300_1590,N,19
NE1715,5,N21,-,hypothetical protein,SAUSA300_1069,N,21
NE1716,5,N23,chs,chemotaxis-inhibiting protein CHIPS,SAUSA300_1920,N,23
NE1717,5,P1,aroC,chorismate synthase,SAUSA300_1357,P,1
NE1718,5,P3,-,MarR family transcriptional regulator,SAUSA300_2459,P,3
NE1719,5,P5,arcC,carbamate kinase,SAUSA300_1063,P,5
NE1720,5,P7,-,hypothetical protein,SAUSA300_0583,P,7
NE1721,5,P9,-,hypothetical protein,SAUSA300_1203,P,9
NE1722,5,P11,-,hypothetical protein,SAUSA300_1213,P,11
NE1723,5,P13,-,hypothetical protein,SAUSA300_0094,P,13
NE1724,5,P15,pdhA,"pyruvate dehydrogenase E1 component, alpha subunit",SAUSA300_0993,P,15
NE1725,5,P17,-,"cytochrome D ubiquinol oxidase, subunit II",SAUSA300_0987,P,17
NE1726,5,P19,,antiholin-like protein LrgB,SAUSA300_0257,P,19
NE1727,5,P21,-,hypothetical protein,SAUSA300_1695,P,21
NE1728,5,P23,-,"glycosyl transferase, group 1 family protein",SAUSA300_1349,P,23
NE1729,5,A2,-,superantigen-like protein 5,SAUSA300_0399,A,2
NE1730,5,A4,-,glutathione peroxidase,SAUSA300_1197,A,4
NE1731,5,A6,-,hypothetical protein,SAUSA300_2456,A,6
NE1732,5,A8,-,peptide ABC transporter ATP-binding protein,SAUSA300_1274,A,8
NE1733,5,A10,-,hypothetical protein,SAUSA300_0827,A,10
NE1734,5,A12,-,hypothetical protein,SAUSA300_0342,A,12
NE1735,5,A14,-,hypothetical protein,SAUSA300_1118,A,14
NE1736,5,A16,-,hypothetical protein,SAUSA300_1724,A,16
NE1737,5,A18,mtlA,"PTS system, mannitol specific IIA component",SAUSA300_2107,A,18
NE1738,5,A20,-,hypothetical protein,SAUSA300_1899,A,20
NE1739,5,A22,-,hypothetical protein,SAUSA300_1321,A,22
NE1740,5,A24,scpA,hypothetical protein,SAUSA300_1445,A,24
NE1741,5,C2,aroB,3-dehydroquinate synthase,SAUSA300_1356,C,2
NE1742,5,C4,hemA,glutamyl-tRNA reductase,SAUSA300_1619,C,4
NE1743,5,C6,-,hypothetical protein,SAUSA300_0769,C,6
NE1744,5,C8,-,putative flavohemoprotein,SAUSA300_0234,C,8
NE1745,5,C10,-,phi77 ORF044-like protein,SAUSA300_1926,C,10
NE1746,5,C12,luxS,S-ribosylhomocysteinase,SAUSA300_2088,C,12
NE1747,5,C14,-,hypothetical protein,SAUSA300_0085,C,14
NE1748,5,C16,-,amidohydrolase family protein,SAUSA300_2517,C,16
NE1749,5,C18,-,hypothetical protein,SAUSA300_1909,C,18
NE1750,5,C20,-,hypothetical protein,SAUSA300_2043,C,20
NE1751,5,C22,-,hypothetical protein,SAUSA300_0979,C,22
NE1752,5,C24,rbfA,ribosome-binding factor A,SAUSA300_1163,C,24
NE1753,5,E2,-,ABC transporter ATP-binding protein,SAUSA300_0936,E,2
NE1754,5,E4,-,hypothetical protein,SAUSA300_2525,E,4
NE1755,5,E6,-,hypothetical protein,SAUSA300_2641,E,6
NE1756,5,E8,-,sensor histidine kinase,SAUSA300_0646,E,8
NE1757,5,E10,lspA,lipoprotein signal peptidase,SAUSA300_1089,E,10
NE1758,5,E12,pdhB,"pyruvate dehydrogenase E1 component, beta subunit",SAUSA300_0994,E,12
NE1759,5,E14,pyrF,orotidine 5'-phosphate decarboxylase,SAUSA300_1097,E,14
NE1760,5,E16,-,hypothetical protein,SAUSA300_1599,E,16
NE1761,5,E18,-,ATPase family protein,SAUSA300_1302,E,18
NE1762,5,E20,-,HAD family hydrolase,SAUSA300_0540,E,20
NE1763,5,E22,-,putative traG membrane protein,SAUSA300_1480,E,22
NE1764,5,E24,splF,serine protease SplF,SAUSA300_1753,E,24
NE1765,5,G2,-,hypothetical protein,SAUSA300_1187,G,2
NE1766,5,G4,-,ABC transporter protein,SAUSA300_2557,G,4
NE1767,5,G6,sirA,iron compound ABC transporter iron compound-binding protein SirA,SAUSA300_0117,G,6
NE1768,5,G8,-,ABC transporter ATP-binding protein,SAUSA300_2633,G,8
NE1769,5,G10,-,hypothetical protein,SAUSA300_0857,G,10
NE1770,5,G12,sucD,succinyl-CoA synthetase subunit alpha,SAUSA300_1139,G,12
NE1771,5,G14,-,hypothetical protein,SAUSA300_0602,G,14
NE1772,5,G16,-,hypothetical protein,SAUSA300_2368,G,16
NE1773,5,G18,-,phospholipase/carboxylesterase family protein,SAUSA300_2457,G,18
NE1774,5,G20,-,ABC transporter permease,SAUSA300_2358,G,20
NE1775,5,G22,-,triacylglycerol lipase,SAUSA300_0320,G,22
NE1776,5,G24,-,hypothetical protein,SAUSA300_1011,G,24
NE1777,5,I2,-,hypothetical protein,SAUSA300_0937,I,2
NE1778,5,I4,-,hypothetical protein,SAUSA300_0958,I,4
NE1779,5,I6,-,hydrolase family protein,SAUSA300_2518,I,6
NE1780,5,I8,-,hypothetical protein,SAUSA300_0568,I,8
NE1781,5,I10,-,MarR family transcriptional regulator,SAUSA300_0334,I,10
NE1782,5,I12,-,hypothetical protein,SAUSA300_2246,I,12
NE1783,5,I14,-,hypothetical protein,SAUSA300_1684,I,14
NE1784,5,I16,-,ABC transporter permease,SAUSA300_0619,I,16
NE1785,5,I18,purN,phosphoribosylglycinamide formyltransferase,SAUSA300_0974,I,18
NE1786,5,I20,-,"phi77 ORF014-like protein, phage anti-repressor protein",SAUSA300_1966,I,20
NE1787,5,I22,srtA,sortase,SAUSA300_2467,I,22
NE1788,5,I24,-,hypothetical protein,SAUSA300_0982,I,24
NE1789,5,K2,-,hypothetical protein,SAUSA300_2544,K,2
NE1790,5,K4,-,ABC transporter ATP-binding protein,SAUSA300_1217,K,4
NE1791,5,K6,lacD,"tagatose 1,6-diphosphate aldolase",SAUSA300_2152,K,6
NE1792,5,K8,-,phi77 ORF040-like protein,SAUSA300_1943,K,8
NE1793,5,K10,-,hypothetical protein,SAUSA300_1296,K,10
NE1794,5,K12,-,Holliday junction resolvase-like protein,SAUSA300_1573,K,12
NE1795,5,K14,-,hypothetical protein,SAUSA300_0839,K,14
NE1796,5,K16,hisC,histidinol-phosphate aminotransferase,SAUSA300_0708,K,16
